product_name,price,source,product_url,image_url
"Apple iPad(6th Gen) Tablet (9.7 inch, 32GB, Wi-Fi), Gold","Rs. 29,999",amazon.in,https://www.amazon.in/Apple-iPad-Tablet-inch-Wi-Fi/dp/B07C51NY6G/ref=sr_1_24?ie=UTF8&qid=1532871578&sr=8-24&keywords=apple,https://images-eu.ssl-images-amazon.com/images/I/51eFGdbQieL._AC_US218_.jpg
AmazonBasics Nylon Braided USB A to Lightning Compatible Cable - Apple MFi Certified - Dark Grey (3 Feet/0.9 Meter),Rs. 899,amazon.in,https://www.amazon.in/AmazonBasics-Nylon-Braided-Lightning-Compatible/dp/B01F9RGJJO/ref=sr_1_25?ie=UTF8&qid=1532871578&sr=8-25&keywords=apple,https://images-eu.ssl-images-amazon.com/images/I/41dMaaXZRsL._AC_US218_.jpg
Apple MMTN2ZM/A EarPods with Lightning Connector (White),"Rs. 2,345",amazon.in,https://www.amazon.in/Apple-MMTN2ZM-EarPods-Lightning-Connector/dp/B01M1EEPOB/ref=sr_1_26?ie=UTF8&qid=1532871578&sr=8-26&keywords=apple,https://images-eu.ssl-images-amazon.com/images/I/313t02qjeKL._AC_US218_.jpg
"Apple iPhone 8 (Gold, 64GB)","Rs. 60,800",amazon.in,https://www.amazon.in/Apple-iPhone-8-Gold-64GB/dp/B072BXZWBZ/ref=sr_1_27?ie=UTF8&qid=1532871578&sr=8-27&keywords=apple,https://images-eu.ssl-images-amazon.com/images/I/41zI4tZ6hcL._AC_US218_.jpg
"Apple Watch Series 3 GPS 42mm Smart Watch (Space Grey Aluminum Case, Black Sport Band)","Rs. 31,900",amazon.in,https://www.amazon.in/Apple-Watch-Smart-Space-Aluminum/dp/B075R9P7H8/ref=sr_1_28?ie=UTF8&qid=1532871578&sr=8-28&keywords=apple,https://images-eu.ssl-images-amazon.com/images/I/41tb7+LdQ2L._AC_US218_.jpg
Apple ML8M2HN/A 5W USB Power Adapter (White),"Rs. 1,435",amazon.in,https://www.amazon.in/Apple-ML8M2HN-Power-Adapter-White/dp/B01BGGZHF4/ref=sr_1_29?ie=UTF8&qid=1532871578&sr=8-29&keywords=apple,https://images-eu.ssl-images-amazon.com/images/I/31fSXS3+TEL._AC_US218_.jpg
Fredi Motion Activated Mini Hidden Camera 720P HD Mini Wifi Spy Camera For iPhone Android Phone iPad PC Remote View,"Rs. 1,499",amazon.in,https://www.amazon.in/Motion-Activated-Hidden-Camera-Android/dp/B01I68UERG/ref=sr_1_30?ie=UTF8&qid=1532871578&sr=8-30&keywords=apple,https://images-eu.ssl-images-amazon.com/images/I/41L7ji-ngTL._AC_US218_.jpg
"Apple AirPods - Wireless Headset with Mic (White, In the Ear)","Rs. 14,050",amazon.in,https://www.amazon.in/Apple-AirPods-Wireless-Headset-White/dp/B01MCW7EOW/ref=sr_1_31?ie=UTF8&qid=1532871578&sr=8-31&keywords=apple,https://images-eu.ssl-images-amazon.com/images/I/31CNNrFXwDL._AC_US218_.jpg
"Apple iPhone X (Silver, 64GB)","Rs. 91,000",amazon.in,https://www.amazon.in/Apple-iPhone-X-Silver-64GB/dp/B0711T2L8K/ref=sr_1_32?ie=UTF8&qid=1532871578&sr=8-32&keywords=apple,https://images-eu.ssl-images-amazon.com/images/I/41yHmwJxbIL._AC_US218_.jpg
"Apple iPhone 6S (Space Grey, 32GB)","Rs. 34,999",amazon.in,https://www.amazon.in/Apple-iPhone-6S-Space-Grey/dp/B01LX3A7CC/ref=sr_1_33?ie=UTF8&qid=1532871578&sr=8-33&keywords=apple,https://images-eu.ssl-images-amazon.com/images/I/41+wo3bcbKL._AC_US218_.jpg
"Tosmy Stainless Steel Premium Apple Cutter, Multicolour",Rs. 80,amazon.in,https://www.amazon.in/Tosmy-Stainless-Premium-Cutter-Multicolour/dp/B015R16EHE/ref=sr_1_34?ie=UTF8&qid=1532871578&sr=8-34&keywords=apple,https://images-eu.ssl-images-amazon.com/images/I/4129+IXdIKL._AC_US218_.jpg
"(CERTIFIED REFURBISHED) Panasonic Eluga Ray Max (Grey, 64GB)","Rs. 9,799",amazon.in,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_2?ie=UTF8&adId=A05791111PKKFIY15HKIV&url=https%3A%2F%2Fwww.amazon.in%2FREFURBISHED-Panasonic-Eluga-Ray-Max%2Fdp%2FB078HQMYPY%2Fref%3Dsr_1_35_sspa%3Fie%3DUTF8%26qid%3D1532871578%26sr%3D8-35-spons%26keywords%3Dapple%26psc%3D1&qualifier=1532871578&id=4954696611332227&widgetName=sp_btf,https://images-eu.ssl-images-amazon.com/images/I/4165VXUWNfL._AC_US218_.jpg
"(Certified Refurbished) Panasonic Eluga Ray X (Gold, 32GB)","Rs. 6,999",amazon.in,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A05789552EV92SALXLYEO&url=https%3A%2F%2Fwww.amazon.in%2FCertified-Refurbished-Panasonic-Eluga-Ray%2Fdp%2FB078HTP1GK%2Fref%3Dsr_1_36_sspa%3Fie%3DUTF8%26qid%3D1532871578%26sr%3D8-36-spons%26keywords%3Dapple%26psc%3D1&qualifier=1532871578&id=4954696611332227&widgetName=sp_btf,https://images-eu.ssl-images-amazon.com/images/I/41ybsBF5CIL._AC_US218_.jpg
