product_name,price,source,product_url,image_url
White HP Desktop Printer With AC Adapter colour print & black white,Rs. 3500,olx.in,https://www.olx.in/item/white-hp-desktop-printer-with-ac-adapter-colour-print-black-white-ID1mjuEf.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/6mfy8i6l1exm-IN/image;s=144x108;in_;slot=1;filename=6mfy8i6l1exm-IN_.jpg
"Core i5 A+ Conditioned Laptop Hp Elitebook 8440P,4GB RAM // 320GB HDD",Rs. 13900,olx.in,https://www.olx.in/item/core-i5-a-conditioned-laptop-hp-elitebook-8440p-4gb-ram-320gb-hdd-ID17gM9X.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/oebi8h597xq-IN/image;s=144x108;in_;slot=1;filename=oebi8h597xq-IN_.jpg
Hp desk jet GT5810 only 6months use,Rs. 7500,olx.in,https://www.olx.in/item/hp-desk-jet-gt5810-only-6months-use-ID1mjuqr.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/bpapm4cq85563-IN/image;s=144x108;in_;slot=1;filename=bpapm4cq85563-IN_.jpg
"Hp printer , colour printer , ink number 362 ,",Rs. 6000,olx.in,https://www.olx.in/item/hp-printer-colour-printer-ink-number-362-ID1mjuoL.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/5p1sb3aq12xg1-IN/image;s=144x108;in_;slot=1;filename=5p1sb3aq12xg1-IN_.jpg
{ Excellent Condition } Intel Core i5 Laptop From Hp In Just Rs-13900,Rs. 13900,olx.in,https://www.olx.in/item/excellent-condition-intel-core-i5-laptop-from-hp-in-just-rs-13900-ID17IlIh.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/q1xtsh6lloce1-IN/image;s=144x108;in_;slot=1;filename=q1xtsh6lloce1-IN_.jpg
Tip Top With 1000 GB Hp Elitebook 8460P Intel Core i5 SuperFast Laptop,Rs. 16500,olx.in,https://www.olx.in/item/tip-top-with-1000-gb-hp-elitebook-8460p-intel-core-i5-superfast-laptop-ID17IfjL.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/sq1hs7bu1chl3-IN/image;s=144x108;in_;slot=3;filename=sq1hs7bu1chl3-IN_.jpg
Colour And Black HP Ink Cartridges,Rs. 750,olx.in,https://www.olx.in/item/colour-and-black-hp-ink-cartridges-ID1mjucb.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/04657m85e0e12-IN/image;s=144x108;in_;slot=1;filename=04657m85e0e12-IN_.jpg
Hp desk jet GT5810 only 6months use urgent sel,Rs. 7500,olx.in,https://www.olx.in/item/hp-desk-jet-gt5810-only-6months-use-urgent-sel-ID1mju91.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/xnag9sm4qdtb-IN/image;s=144x108;in_;slot=1;filename=xnag9sm4qdtb-IN_.jpg
White HP Multi-function Printer,Rs. 1200,olx.in,https://www.olx.in/item/white-hp-multi-function-printer-ID1mju7l.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/ekdwd03k7psc3-IN/image;s=144x108;in_;slot=1;filename=ekdwd03k7psc3-IN_.jpg
hp laptop elite book core i5 2gen 4 gb ram 250 gb,Rs. 12999,olx.in,https://www.olx.in/item/hp-laptop-elite-book-core-i5-2gen-4-gb-ram-250-gb-ID1mju87.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/8u2g3b1xqq5j2-IN/image;s=144x108;in_;slot=1;filename=8u2g3b1xqq5j2-IN_.jpg
Hp Probook 6470B Best Offer ever laptop with 500GB HDD 8Gb Ram 20999,Rs. 18999,olx.in,https://www.olx.in/item/hp-probook-6470b-best-offer-ever-laptop-with-500gb-hdd-8gb-ram-20999-ID17bzqD.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/8y9u1h14wsoq3-IN/image;s=144x108;in_;slot=3;filename=8y9u1h14wsoq3-IN_.jpg
"4GB RAM//320GB HDD,Hp Elitebook 8440P,Core i5,With Bill And Warranty",Rs. 13900,olx.in,https://www.olx.in/item/4gb-ram-320gb-hdd-hp-elitebook-8440p-core-i5-with-bill-and-warranty-ID17aOfY.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/6v7zo9b9jeuq2-IN/image;s=144x108;in_;slot=1;filename=6v7zo9b9jeuq2-IN_.jpg
"Ultrabook HP Folio 9470M, Core i 5, 3 rd Gen,4 GB / 500GB Hdd Warranty",Rs. 21900,olx.in,https://www.olx.in/item/ultrabook-hp-folio-9470m-core-i-5-3-rd-gen-4-gb-500gb-hdd-warranty-ID17d4DQ.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/ic465ixgk3263-IN/image;s=144x108;in_;slot=1;filename=ic465ixgk3263-IN_.jpg
Hp Computer,Rs. 6500,olx.in,https://www.olx.in/item/hp-computer-ID1mjCZR.html#13a6cf335c,https://apollo-singapore.akamaized.net/v1/files/qkt9p4kiml0t-IN/image;s=144x108;in_;slot=1;filename=qkt9p4kiml0t-IN_.jpg
New HP Z640 Workstation on rental|HP Mid range workstation rental,Rs. 15000,olx.in,https://www.olx.in/item/new-hp-z640-workstation-on-rental-hp-mid-range-workstation-rental-ID1m3WZB.html#13a6cf335c,https://apollo-singapore.akamaized.net/v1/files/8vzbjtxxudbp3-IN/image;s=144x108;in_;slot=1;filename=8vzbjtxxudbp3-IN_.jpg
Hp Pavillian g6 4gb 500gb hdd 15.6' Screen,Rs. 14000,olx.in,https://www.olx.in/item/hp-pavillian-g6-4gb-500gb-hdd-15-6-screen-ID1mjCIF.html#13a6cf335c,https://apollo-singapore.akamaized.net/v1/files/p5fjtt3ki667-IN/image;s=144x108;in_;slot=1;filename=p5fjtt3ki667-IN_.jpg
Desktop cpu core2duo HP**DELL** in just rs.4000,Rs. 4000,olx.in,https://www.olx.in/item/desktop-cpu-core2duo-hpdell-in-just-rs-4000-ID1mjCKl.html#13a6cf335c,https://apollo-singapore.akamaized.net/v1/files/djq8n7k44b86-IN/image;s=144x108;in_;slot=1;filename=djq8n7k44b86-IN_.jpg
